Company Name,Salary,Rating,Reported Salaries,Designation
ABC,5.0,4.0,71,Data Analyst
Dassault Systèmes,7.8,4.1,5,Quality Assurance
Deloitte,9.98,4.1,85,Data Engineer
Capgemini,7.09,3.9,6,Machine Learning Engineer
eClinicalWorks,3.15,3.9,4,Quality Assurance
Teleperformance,2.16,4.7,66,Data Analyst
1Rivet,4.2,4.5,3,Machine Learning Engineer
Mu Sigma,6.0,3.5,82,Data Analyst
XYZ,4.0,3.7,3,Quality Assurance
Walmart,23.0,3.4,21,Data Engineer
HARMAN,7.49,3.9,341,Software Engineer
Société Générale,12.89,3.7,528,Software Engineer
Applied Data Finance,9.6,4.1,26,Data Scientist
Jio,16.8,3.7,9,Machine Learning Engineer
KPI Partners,4.7,3.6,18,Data Engineer
Quantiphi,6.42,4.3,14,Machine Learning Engineer
IDfy,10.95,4.0,6,Machine Learning Engineer
Reliance Industries,3.84,3.9,4,Quality Assurance
Wells Fargo,16.0,3.6,388,Software Engineer
Tata Consultancy Services,4.9,3.8,672,Data Engineer
Techolution,10.75,3.8,4,Machine Learning Engineer
Sysark,4.2,4.4,3,Machine Learning Engineer
Persistent Systems,7.0,3.9,7,Machine Learning Engineer
Persistent Systems,5.0,3.9,1740,Software Engineer
eClerx,2.3,3.4,134,Data Analyst
Honeywell,7.03,4.0,302,Software Engineer
Informatica,12.3,3.9,290,Software Engineer
OptiSol Business Solutions Private Limited,5.38,4.0,14,Machine Learning Engineer
Deloitte,4.2,4.1,5,Quality Assurance
Target,13.0,3.5,33,Data Engineer
XYZ,6.0,3.8,313,Software Engineer
Verificient Technologies,1.8,4.0,62,Data Analyst
HDFC Bank,15.58,3.5,31,Data Scientist
Onward Assist,7.0,4.3,3,Machine Learning Engineer
UST,8.62,3.9,4,Machine Learning Engineer
S&P Global,4.88,4.1,132,Data Analyst
Ericsson India Global services Pvt. Ltd.,13.23,4.2,18,Data Scientist
FE fundinfo,2.84,4.2,36,Data Analyst
Williams Lea,6.6,4.1,3,Quality Assurance
TTEC,3.63,3.5,3,Quality Assurance
Inferenz,4.42,4.4,18,Data Engineer
GE Digital,11.0,3.6,14,Data Engineer
Celebal Technologies,4.61,3.5,29,Data Engineer
Cyient,7.75,3.6,28,Data Scientist
OYO,5.38,3.4,26,Data Analyst
Citi,12.0,3.8,56,Data Analyst
MiQ,15.5,3.5,29,Data Scientist
Microsoft,23.21,4.3,1842,Software Engineer
Indium Software,8.0,4.2,17,Data Engineer
Keywords Studios,2.6,3.8,8,Quality Assurance
Innominds Software,9.0,3.4,19,Data Scientist
Shell,20.0,4.1,37,Data Scientist
Inube Software Solutions,4.0,3.7,3,Quality Assurance
ConcertAI,19.73,3.3,3,Machine Learning Engineer
SysArc Infomatix,6.24,3.6,3,Quality Assurance
NTT DATA,4.5,3.9,49,Data Analyst
Microsoft,9.6,4.3,299,Software Engineer
Hewlett Packard Enterprise | HPE,8.5,4.2,3,Quality Assurance
Mercedes-Benz Research and Development India,14.0,4.0,19,Data Scientist
TCS,7.12,3.9,26,Data Scientist
The Smart Cube,7.5,3.6,44,Data Analyst
Sprinklr,18.0,3.4,18,Data Scientist
Nokia,9.0,4.1,329,Software Engineer
Jio,6.6,3.7,287,Software Engineer
ExaWizards,23.9,3.1,3,Machine Learning Engineer
Nucleus Software Exports,5.0,3.8,354,Software Engineer
Mphasis,4.78,3.5,1236,Software Engineer
Amazon,8.0,3.7,19,Machine Learning Engineer
Nielsen,6.75,3.5,24,Data Scientist
ValueLabs,4.5,4.3,292,Software Engineer
Rapido,10.98,3.9,25,Data Analyst
TuringMinds.Ai,5.0,2.0,62,Data Scientist
ThirdEye Data,4.0,3.4,16,Data Engineer
Amazon,5.0,3.7,259,Data Analyst
LTIMindtree,4.62,3.5,634,Software Engineer
Tata Consultancy Services,4.35,3.8,8398,Software Engineer
BA Continuum India,10.19,4.2,3,Quality Assurance
Novartis,11.0,3.9,6,Quality Assurance
Searce,9.0,3.5,23,Data Engineer
DataWeave,7.4,4.0,35,Data Engineer
PwC,5.33,3.9,6,Quality Assurance
Observe.AI,26.89,3.5,5,Machine Learning Engineer
Zensar Technologies,5.0,4.0,833,Software Engineer
Ganit,6.0,3.8,56,Data Analyst
Deloitte,12.0,4.1,77,Data Scientist
Manhattan Associates,7.7,4.1,291,Software Engineer
Paytm,15.5,3.5,20,Data Engineer
Phenom,18.0,3.8,13,Machine Learning Engineer
Cybage Software,6.5,4.0,898,Software Engineer
Wipro,4.5,3.7,205,Data Analyst
Tech Mahindra,6.36,3.6,50,Data Engineer
Reliance Industries,9.32,3.9,30,Data Scientist
Resolute AI Software,2.4,4.3,3,Machine Learning Engineer
DONE by NONE,7.89,4.0,4,Machine Learning Engineer
Micro Labs,4.7,3.3,5,Quality Assurance
NTT DATA,5.97,3.9,21,Data Engineer
Inferenz,4.0,4.4,5,Machine Learning Engineer
Hexaware Technologies,9.9,3.8,3,Machine Learning Engineer
Omega Healthcare,5.1,3.7,6,Quality Assurance
Tata Consultancy Services,4.33,3.8,824,Data Analyst
Delhivery,12.0,3.5,22,Data Scientist
J.P. Morgan,13.5,4.0,437,Software Engineer
Tata Consultancy Services,3.25,3.8,26,Data Analyst
EPAM Systems,14.0,4.1,473,Software Engineer
Crest Data Systems,6.12,3.8,286,Software Engineer
Mihup Communications,7.32,3.8,4,Machine Learning Engineer
Amazon,15.0,3.7,115,Data Scientist
Aera Technology,16.16,3.6,4,Machine Learning Engineer
Finastra,6.0,3.8,3,Quality Assurance
Nones,5.0,4.0,30,Data Analyst
PwC,6.0,3.9,62,Data Analyst
UnitedHealth Group,10.35,3.7,16,Data Engineer
Principal Financial Group,10.44,3.9,16,Data Engineer
Indegene,8.0,3.7,38,Data Analyst
Fidelity Investments,10.4,4.3,15,Data Engineer
Avantari Technologies,7.1,4.5,4,Machine Learning Engineer
DecisionTree Analytics & Services,6.72,4.7,30,Data Analyst
Concentrix,3.09,4.1,10,Quality Assurance
Quest Global,4.0,3.7,353,Software Engineer
skit.ai,16.0,3.7,7,Machine Learning Engineer
Capgemini,4.0,3.9,294,Data Analyst
Quale Infotech,5.5,3.6,3,Machine Learning Engineer
Jio,5.35,3.7,32,Data Analyst
Lumiq (India),8.0,3.7,23,Data Engineer
TCS,4.2,3.9,15,Quality Assurance
Celebal Technologies,6.5,3.5,28,Data Scientist
Ericsson-Worldwide,10.0,4.1,46,Data Scientist
KPMG,5.64,3.8,72,Data Analyst
GALYTIX,6.0,3.1,36,Data Analyst
Decision Point,10.82,3.8,19,Data Scientist
Tech Mahindra,8.31,3.6,7,Machine Learning Engineer
SalesKen,19.21,3.5,3,Machine Learning Engineer
Intel Corporation,6.0,4.1,5,Machine Learning Engineer
Quantrium,4.2,4.0,3,Machine Learning Engineer
Aureus Analytics,11.5,4.5,5,Machine Learning Engineer
ICICI Bank,5.55,3.7,53,Data Analyst
Thoughtworks,9.68,4.2,4,Quality Assurance
Jio,4.15,3.7,4,Quality Assurance
Mphasis,5.4,3.5,4,Quality Assurance
Anheuser-Busch InBev,19.82,3.7,88,Data Scientist
Accenture,9.52,3.9,20,Machine Learning Engineer
PwC,10.8,3.9,31,Data Scientist
PwC,10.75,3.9,30,Data Engineer
Cognizant Technology Solutions,6.56,3.8,2510,Software Engineer
IBM,6.0,4.1,9,Quality Assurance
Oracle,13.45,3.8,882,Software Engineer
Paytm,15.42,3.5,21,Data Scientist
Flipkart,6.0,3.9,44,Data Analyst
Siemens,9.8,4.2,437,Software Engineer
Accenture,7.5,3.9,415,Data Engineer
GE,11.0,4.0,31,Data Engineer
HSBC,8.4,3.9,45,Data Analyst
Datametica,5.6,4.0,44,Data Engineer
Tiger Analytics,14.0,4.0,99,Data Engineer
Fidelity Investments,11.1,4.3,468,Software Engineer
NatWest Group,20.0,4.0,27,Data Engineer
Dell Technologies,9.99,4.3,764,Software Engineer
Concentrix,3.96,4.1,55,Data Analyst
dhiOmics Analytics Solutions,3.1,3.4,8,Machine Learning Engineer
Ford Motor Company,8.5,4.0,29,Data Analyst
Dr. Reddy's,7.8,4.0,5,Quality Assurance
MAQ Software,7.61,2.7,505,Software Engineer
MathCo,5.0,3.5,130,Data Analyst
Barclays,30.16,4.0,4,Machine Learning Engineer
EY,5.0,3.8,174,Data Analyst
Kwantics,6.5,3.9,3,Machine Learning Engineer
Sutherland,5.0,3.7,3,Quality Assurance
Lumen,6.62,3.4,16,Data Engineer
IBM,6.0,4.1,135,Data Analyst
INSOFE,6.8,3.5,26,Data Scientist
EXL Service,12.0,3.7,43,Data Scientist
Capgemini,6.5,3.9,135,Data Engineer
Intelligence Node,1.82,3.9,9,Quality Assurance
First Student,4.1,3.9,50,Data Analyst
Gramener,8.0,4.4,20,Data Scientist
Samsung Electronics,11.64,3.8,640,Software Engineer
Jio,14.85,3.7,88,Data Scientist
TCS,4.5,3.9,816,Software Engineer
Citi,18.84,3.8,20,Data Scientist
Lupin,4.3,3.9,4,Quality Assurance
Intel Corporation,15.0,4.1,357,Software Engineer
L&T Technology Services,4.38,3.4,434,Software Engineer
Blackbuck Insights,4.59,4.6,48,Data Engineer
Cognizant Technology Solutions,5.2,3.8,8,Machine Learning Engineer
Capgemini Engineering,4.0,3.6,1041,Software Engineer
Compass,22.0,3.6,3,Machine Learning Engineer
The Alacer Group,16.25,4.3,4,Machine Learning Engineer
LTIMindtree,5.02,3.5,175,Data Engineer
Trident Group,9.0,3.1,3,Quality Assurance
Intel Corporation,17.6,4.1,18,Data Scientist
Optum,10.8,3.6,54,Data Engineer
ABC,10.0,4.0,7,Quality Assurance
Bombay Softwares,6.75,4.9,4,Machine Learning Engineer
Verizon,6.0,3.8,281,Software Engineer
iNeuron,6.5,4.3,19,Data Scientist
Walmart Global Tech,21.38,4.0,36,Data Engineer
Altimetrik,11.5,4.1,38,Data Engineer
Wipro,6.5,3.7,85,Data Engineer
Capgemini,4.0,3.9,3442,Software Engineer
Panasonic,4.72,3.8,492,Software Engineer
Ganit,6.0,3.8,14,Data Engineer
Nagarro,4.4,4.0,3,Quality Assurance
Indium Software,7.3,4.2,33,Data Analyst
ABC,7.0,4.0,1088,Software Engineer
Infogain,4.25,3.9,469,Software Engineer
Quality Engineering,2.19,4.1,3,Quality Assurance
Anonymous,5.11,3.7,27,Data Analyst
HCLTech,4.5,3.6,4254,Software Engineer
ANZ,12.0,4.0,28,Data Analyst
Dell Technologies,6.37,4.3,58,Data Analyst
ANZ,12.0,4.0,21,Data Engineer
Genpact,4.43,4.0,64,Data Analyst
IBM,10.06,4.1,377,Data Engineer
Oracle,15.0,3.8,7,Machine Learning Engineer
Newgen Software,5.0,3.8,756,Software Engineer
TCS,4.88,3.9,87,Data Analyst
Mercedes-Benz Research and Development India,19.38,4.0,4,Machine Learning Engineer
Tata Consultancy Services (North America),4.2,3.7,459,Software Engineer
XenonStack,5.5,3.1,7,Machine Learning Engineer
First Student,4.91,3.9,582,Software Engineer
DataScientest,6.0,4.8,25,Data Scientist
TATA ELXSI,6.25,4.0,6,Machine Learning Engineer
LTIMindtree,9.31,3.5,3,Quality Assurance
Nagarro,11.0,4.0,20,Data Scientist
HCLTech,5.0,3.6,10,Quality Assurance
Accenture Solutions,9.05,4.1,22,Data Engineer
Walmart,30.5,3.4,18,Data Scientist
Infosys,4.8,3.8,21,Quality Assurance
Biz2Credit,10.0,4.3,3,Quality Assurance
Fresher,2.9,4.0,14,Quality Assurance
Fresher,4.0,4.0,355,Software Engineer
Shell,13.49,4.1,53,Data Engineer
Wolters Kluwer,11.05,3.7,22,Data Scientist
Hewlett Packard Enterprise | HPE,4.5,4.2,19,Data Engineer
Axis Bank,11.88,3.8,23,Data Scientist
Cisco Systems,15.0,4.4,18,Data Scientist
Honeywell,14.5,4.0,26,Data Scientist
Amazon,4.52,3.7,55,Quality Assurance
Cisco Systems,14.0,4.4,26,Data Engineer
Accenture Solutions,6.0,4.1,28,Data Analyst
Tredence,7.38,4.1,34,Data Engineer
Mu Sigma,6.02,3.5,173,Data Scientist
VMware,21.5,4.5,16,Data Engineer
CitiusTech,5.93,3.5,334,Software Engineer
HCLTech,3.96,3.6,96,Data Analyst
GammaStack,6.0,4.2,3,Quality Assurance
ZS Associates,14.0,3.7,56,Data Scientist
Commonwealth Bank of Australia,18.84,4.0,14,Data Engineer
LatentView Analytics,5.9,4.0,150,Data Analyst
Tata Consultancy Services (North America),5.0,3.7,29,Data Analyst
Google,14.0,4.4,15,Machine Learning Engineer
Teradata,11.0,3.8,33,Data Engineer
TEKsystems,8.64,3.8,23,Data Engineer
Micron Technology,12.0,3.7,29,Data Engineer
Infosys,4.8,3.8,273,Data Analyst
Cisco Systems,18.54,4.4,1893,Software Engineer
AVASOFT,3.98,3.7,17,Data Engineer
Atos-Syntel,3.72,3.6,597,Software Engineer
HiLabs,19.4,3.7,31,Data Scientist
AIMonk,6.84,4.1,5,Machine Learning Engineer
Cognizant Technology Solutions,7.25,3.8,218,Data Engineer
Anonymous,3.0,3.7,5,Quality Assurance
Carelon Global Solutions,9.68,3.9,389,Software Engineer
Optum,15.5,3.6,91,Data Scientist
KPMG,13.38,3.8,20,Data Engineer
Google,11.5,4.4,22,Data Engineer
INSOFE,6.85,3.5,4,Machine Learning Engineer
Amazon,3.03,3.7,8,Quality Assurance
L&T Technology Services,4.39,3.4,3,Machine Learning Engineer
DXC Technology,8.0,3.6,27,Data Scientist
Dailyhunt,20.0,3.4,4,Machine Learning Engineer
Paytm,4.99,3.5,10,Quality Assurance
Cactus Communications,2.22,3.8,6,Quality Assurance
DXC Technology,4.07,3.6,563,Software Engineer
Flipkart,7.0,3.9,68,Data Analyst
Amazon,15.54,3.7,159,Data Engineer
ITC Infotech,7.94,3.8,18,Data Scientist
PayPal,23.15,3.9,22,Data Engineer
HP Inc.,18.0,4.2,29,Data Scientist
Wells Fargo,12.0,3.6,32,Data Analyst
FIS,10.0,3.7,6,Quality Assurance
Ganit,12.0,3.8,28,Data Scientist
Myntra,10.0,4.0,109,Data Analyst
Decision Point,5.5,3.8,25,Data Engineer
Genpact,7.25,4.0,40,Data Engineer
Fiserv,8.0,3.5,11,Quality Assurance
Tech Mahindra,7.9,3.6,49,Data Scientist
Cognizant Technology Solutions,4.9,3.8,36,Quality Assurance
Thomson Reuters,7.15,4.1,275,Software Engineer
Mastercard,24.0,4.3,30,Data Scientist
Jocata,9.0,3.8,5,Machine Learning Engineer
Morningstar,3.84,3.9,85,Data Analyst
UnitedHealth Group,7.07,3.7,271,Software Engineer
EY,9.0,3.8,41,Data Engineer
CogniCor Technologies,6.0,4.4,3,Machine Learning Engineer
Lucida Technologies,6.0,3.5,3,Machine Learning Engineer
CRG Solutions,5.0,3.7,31,Data Analyst
ABC,7.99,4.0,50,Data Scientist
Innovaccer,13.0,3.4,19,Data Scientist
Tiger Analytics,14.41,4.0,21,Machine Learning Engineer
Enquero,9.0,4.0,43,Data Engineer
HyperVerge,18.22,4.3,5,Machine Learning Engineer
Cipla,2.4,3.9,13,Quality Assurance
DXC Technology,5.0,3.6,41,Data Analyst
Nielsen,5.02,3.5,30,Data Analyst
First Student,3.6,3.9,25,Data Analyst
Zydus Lifesciences,4.16,4.3,6,Quality Assurance
Ford Motor Company,6.0,4.0,16,Data Engineer
HCLTech,8.03,3.6,43,Data Scientist
LG Balakrishnan and Bros,1.73,3.5,3,Quality Assurance
HCLTech,5.65,3.6,8,Machine Learning Engineer
Datagrokr,6.8,3.9,28,Data Engineer
Temenos,6.3,3.5,439,Software Engineer
DeepEdge,8.9,4.9,8,Machine Learning Engineer
Oracle,14.0,3.8,37,Data Scientist
Abbott,5.25,3.8,5,Quality Assurance
SLB,8.0,4.1,15,Data Engineer
IQVIA,7.0,3.9,47,Data Analyst
Amazon,3.06,3.7,4,Quality Assurance
Visa Inc.,17.0,4.1,15,Data Engineer
JPMorgan Chase & Co,5.3,4.0,3,Quality Assurance
Cognizant Technology Solutions,4.98,3.8,319,Data Analyst
TO THE NEW,6.0,4.0,16,Data Engineer
Quality Assurance Services,3.0,4.3,3,Quality Assurance
CreditVidya,12.79,4.2,3,Machine Learning Engineer
Tata Consultancy Services,3.93,3.8,75,Quality Assurance
McKinsey & Company,14.0,4.2,29,Data Analyst
Tiger Analytics,8.5,4.0,130,Data Analyst
Microsoft,18.5,4.3,90,Data Scientist
ABB,11.57,4.0,19,Data Scientist
Trainity,3.0,4.6,101,Data Analyst
Fractal,7.0,4.1,34,Data Analyst
Unilog Content Solutions,2.09,3.6,46,Data Analyst
Axis Bank,7.84,3.8,18,Data Engineer
MAERSK,15.0,4.1,61,Data Engineer
Tredence,12.5,4.1,27,Data Scientist
Urjanet,2.4,3.7,3,Quality Assurance
BlueOptima,12.0,3.0,7,Machine Learning Engineer
Infosys,4.88,3.8,164,Data Engineer
Anthem Biosciences,5.25,3.9,4,Quality Assurance
Maxgen Technologies,2.58,4.8,22,Data Scientist
Jio,7.0,3.7,55,Data Engineer
UnitedHealth Group,13.6,3.7,33,Data Scientist
GlobalLogic,2.0,3.8,136,Data Analyst
KPMG,12.26,3.8,18,Data Scientist
Hindustan Coca Cola Beverages,2.86,4.0,3,Quality Assurance
YBI Foundation,2.88,4.8,4,Machine Learning Engineer
Climate Connect (India),6.93,3.3,7,Machine Learning Engineer
Wipro,8.0,3.7,87,Data Scientist
First Student,5.0,3.9,53,Data Scientist
Epsilon,10.0,4.1,27,Data Analyst
Tata Consultancy Services (North America),7.0,3.7,17,Data Engineer
Coforge,7.8,3.5,16,Data Engineer
AppliedAICourse,7.0,4.0,7,Machine Learning Engineer
Mahindra,1.83,3.9,3,Quality Assurance
Course5 Intelligence,3.17,4.2,41,Data Analyst
dunnhumby,13.0,4.3,25,Data Engineer
Fresher,5.0,4.0,43,Data Scientist
JBM Group,1.38,3.3,3,Quality Assurance
PubMatic,20.32,4.3,3,Machine Learning Engineer
Expleo Group,2.78,3.5,4,Quality Assurance
Robert Bosch India,6.0,4.1,505,Software Engineer
Tiger Analytics,15.0,4.0,129,Data Scientist
J.P. Morgan,10.6,4.0,3,Quality Assurance
ZS Associates,8.85,3.7,51,Data Analyst
Ford Motor Company,13.85,4.0,36,Data Scientist
Maxgen Technologies,2.52,4.8,26,Data Analyst
Qualcomm,17.0,4.0,497,Software Engineer
Bharti Airtel,21.0,4.1,21,Data Scientist
Sopra Steria,5.88,3.8,360,Software Engineer
EY,25.0,3.8,3,Machine Learning Engineer
OpenText,10.0,3.5,294,Software Engineer
Wipro,6.85,3.7,5,Machine Learning Engineer
NeenOpal,8.2,4.3,19,Data Scientist
Brillio,5.45,3.7,38,Data Engineer
Verizon,12.0,3.8,23,Data Scientist
Amazon,19.1,3.7,1602,Software Engineer
Amdocs,8.0,3.9,614,Software Engineer
GlobalLogic,6.12,3.8,674,Software Engineer
Philips,14.55,3.9,21,Data Scientist
Walmart Global Tech,28.0,4.0,31,Data Scientist
Qualcomm,24.75,4.0,6,Machine Learning Engineer
Barclays,10.0,4.0,37,Data Analyst
Publicis Sapient,6.15,3.7,25,Data Analyst
MTX Group,34.5,3.9,8,Machine Learning Engineer
QualityKiosk,3.6,3.6,5,Quality Assurance
Amadeus,9.0,4.1,276,Software Engineer
Coforge,4.32,3.5,447,Software Engineer
ICS Consultancy,17.5,3.1,5,Machine Learning Engineer
Cybage Software,6.0,4.0,16,Quality Assurance
Virtusa,7.0,3.7,23,Data Engineer
Teleperformance,3.21,4.7,10,Quality Assurance
Thoucentric,11.0,4.1,19,Data Scientist
Uber,11.3,3.9,39,Data Analyst
Publicis Sapient,5.0,3.7,7,Quality Assurance
Samsung R&D Institute India - Noida,12.0,3.4,509,Software Engineer
Virtusa,7.88,3.7,4,Quality Assurance
DXC Technology,6.0,3.6,8,Quality Assurance
Infocusp,11.0,4.7,15,Machine Learning Engineer
Oracle,12.2,3.8,15,Data Engineer
PeopleStrong Technologies,10.0,3.9,3,Machine Learning Engineer
Dell Technologies,9.0,4.3,21,Data Engineer
Syren,7.02,3.9,14,Data Engineer
Nones,6.0,4.0,4,Machine Learning Engineer
ServiceNow,25.83,4.4,9,Machine Learning Engineer
Infosys,5.0,3.8,4032,Software Engineer
Searce,7.25,3.5,4,Machine Learning Engineer
OodlesTechnologies,3.0,3.7,3,Quality Assurance
Mylan Inc,3.65,3.7,6,Quality Assurance
Innovaccer,10.0,3.4,70,Data Analyst
Tata Consultancy Services,7.92,3.8,413,Data Scientist
Deloitte,15.0,4.1,7,Machine Learning Engineer
American Express,14.75,4.2,46,Data Analyst
XYZ,9.5,3.8,4,Quality Assurance
Granules India,6.25,3.7,3,Quality Assurance
FactSet,18.0,4.0,11,Machine Learning Engineer
LatentView Analytics,6.26,4.0,21,Data Engineer
AlgoAnalytics Financial Consultancy,7.8,3.8,21,Data Scientist
Hewlett Packard Enterprise | HPE,9.55,4.2,270,Software Engineer
FIS,9.0,3.7,3,Machine Learning Engineer
Microsoft,20.0,4.3,11,Machine Learning Engineer
FIS,7.3,3.7,387,Software Engineer
Deloitte,6.26,4.1,252,Data Analyst
Xoriant,6.5,3.8,473,Software Engineer
Hexaware Technologies,4.49,3.8,636,Software Engineer
Fresher,4.0,4.0,127,Data Analyst
Adobe,19.99,4.3,4,Machine Learning Engineer
HCLTech,9.98,3.6,38,Data Engineer
Quantiphi,10.65,4.3,421,Machine Learning Engineer
Flipkart,31.39,3.9,36,Data Scientist
Samsung R&D Institute India - Bangalore,14.0,3.7,721,Software Engineer
Aurobindo Pharma,5.35,3.7,8,Quality Assurance
Accenture,5.0,3.9,17,Quality Assurance
Freshworks,14.85,3.8,7,Machine Learning Engineer
Hansa Cequity,4.2,3.6,27,Data Analyst
Avaamo,25.5,4.5,4,Machine Learning Engineer
Mphasis,4.5,3.5,17,Data Engineer
American Express,18.0,4.2,3,Machine Learning Engineer
Optum,12.0,3.6,119,Data Analyst
XenonStack,4.63,3.1,15,Data Engineer
Goldman Sachs,10.0,3.8,25,Data Analyst
Great Learning,8.2,4.1,32,Data Scientist
UST,6.0,3.9,377,Software Engineer
PayPal,16.1,3.9,32,Data Analyst
EY,10.96,3.8,42,Data Scientist
SLK Group,3.9,3.9,3,Quality Assurance
Intas Pharmaceuticals,3.0,4.0,9,Quality Assurance
Atos,4.0,3.6,365,Software Engineer
CGI,7.0,3.8,1440,Software Engineer
Micron Technology,15.0,3.7,25,Data Scientist
HSBC,8.0,3.9,512,Software Engineer
Novartis,8.0,3.9,26,Data Analyst
BlazeClan Technologies,5.2,3.9,17,Data Engineer
Subex,9.76,3.4,19,Data Scientist
Zycus,7.61,3.4,10,Machine Learning Engineer
JPMorgan Chase & Co,16.5,4.0,444,Software Engineer
Publicis Sapient,14.0,3.7,31,Data Engineer
Microsoft,10.0,4.3,3,Machine Learning Engineer
NewSpace Research and Technologies,6.0,3.6,5,Machine Learning Engineer
Bharti Airtel,5.7,4.1,38,Data Analyst
Numerator,3.33,4.2,42,Data Analyst
Sundram Fasteners,1.68,3.8,3,Quality Assurance
Intangles,9.0,4.5,4,Machine Learning Engineer
Tata Consultancy Services,5.0,3.8,95,Machine Learning Engineer
MathCo,9.96,3.5,23,Data Scientist
Accenture,6.24,3.9,463,Data Analyst
JPMorgan Chase & Co,9.6,4.0,31,Data Analyst
Infosys,7.71,3.8,147,Data Scientist
ThinkBumblebee Analytics,15.0,4.5,16,Data Engineer
Accenture,5.66,3.9,6404,Software Engineer
Zoho,7.0,4.5,4,Quality Assurance
HashedIn by Deloitte,8.0,4.2,312,Software Engineer
Mad Street Den Systems,11.71,4.0,19,Machine Learning Engineer
Robert Bosch,6.05,4.1,621,Software Engineer
Wipro,4.5,3.7,15,Quality Assurance
EXL Service,6.0,3.7,78,Data Analyst
WNS,6.0,3.4,42,Data Analyst
Bank of America,9.0,4.0,20,Data Engineer
Birlasoft,4.0,3.6,290,Software Engineer
EC-Mobility,2.0,3.6,29,Data Engineer
Bajaj Finance,9.82,3.6,26,Data Engineer
Rapid Acceleration Partners,8.0,4.7,5,Machine Learning Engineer
IBM,9.62,4.1,1507,Software Engineer
TCS,5.0,3.9,58,Data Engineer
NCR,7.0,3.5,16,Data Engineer
Continental,7.6,4.1,4,Machine Learning Engineer
