Company Name,Salary,Rating,Reported Salaries,Designation
Honeywell,"₹14,50,000",4,26 salaries,Data Scientist
TCS,"₹7,12,500",3.9,26 salaries,Data Scientist
INSOFE,"₹6,80,000",3.5,26 salaries,Data Scientist
Applied Data Finance,"₹9,60,000",4.1,26 salaries,Data Scientist
Micron Technology,"₹15,00,000",3.7,25 salaries,Data Scientist
DataScientest,"₹50,000",4.8,25 salaries,Data Scientist
Nielsen,"₹6,75,000",3.5,24 salaries,Data Scientist
Verizon,"₹12,00,000",3.8,23 salaries,Data Scientist
Innoplexus,"₹12,00,000",4.2,23 salaries,Data Scientist
MathCo,"₹9,96,006",3.5,23 salaries,Data Scientist
Axis Bank,"₹11,88,000",3.8,23 salaries,Data Scientist
dunnhumby,"₹12,10,000",4.3,22 salaries,Data Scientist
Maxgen Technologies,"₹21,500",4.8,22 salaries,Data Scientist
LTIMindtree,"₹12,98,898",3.5,22 salaries,Data Scientist
Fidelity Investments,"₹26,64,844",4.3,22 salaries,Data Scientist
Delhivery,"₹12,00,000",3.5,22 salaries,Data Scientist
Wolters Kluwer,"₹11,05,000",3.7,22 salaries,Data Scientist
Bharti Airtel,"₹21,00,000",4.1,21 salaries,Data Scientist
Philips,"₹14,55,000",3.9,21 salaries,Data Scientist
AlgoAnalytics Financial Consultancy,"₹7,80,000",3.8,21 salaries,Data Scientist
Paytm,"₹15,42,092",3.5,21 salaries,Data Scientist
Citi,"₹18,83,592",3.8,20 salaries,Data Scientist
Gramener,"₹8,00,000",4.4,20 salaries,Data Scientist
Nagarro,"₹11,00,000",4,20 salaries,Data Scientist
Siemens,"₹11,25,000",4.2,20 salaries,Data Scientist
Mercedes-Benz Research and Development India,"₹14,00,000",4,19 salaries,Data Scientist
Thoucentric,"₹11,00,000",4.1,19 salaries,Data Scientist
ABB,"₹11,56,569",4,19 salaries,Data Scientist
iNeuron,"₹6,50,000",4.3,19 salaries,Data Scientist
Intellect Design Arena,"₹12,00,000",4,19 salaries,Data Scientist
Blackstraw,"₹10,00,000",3.5,19 salaries,Data Scientist
Innovaccer,"₹13,00,000",3.4,19 salaries,Data Scientist
SAP,"₹16,50,000",4.3,19 salaries,Data Scientist
Decision Point,"₹10,81,951",3.8,19 salaries,Data Scientist
NeenOpal,"₹8,20,000",4.3,19 salaries,Data Scientist
Subex,"₹9,76,000",3.4,19 salaries,Data Scientist
Innominds Software,"₹9,00,000",3.4,19 salaries,Data Scientist
Gojek,"₹32,34,591",4.2,18 salaries,Data Scientist
Intel Corporation,"₹17,60,000",4.1,18 salaries,Data Scientist
VMock,"₹19,00,000",3.9,18 salaries,Data Scientist
Myntra,"₹22,00,000",4,18 salaries,Data Scientist
Cisco Systems,"₹15,00,000",4.4,18 salaries,Data Scientist
Walmart,"₹30,50,000",3.4,18 salaries,Data Scientist
Bajaj Finance,"₹11,70,000",3.6,18 salaries,Data Scientist
Sprinklr,"₹18,00,000",3.4,18 salaries,Data Scientist
KPMG,"₹12,26,475",3.8,18 salaries,Data Scientist
ITC Infotech,"₹7,94,257",3.8,18 salaries,Data Scientist
Ericsson India Global services Pvt. Ltd.,"₹13,22,856",4.2,18 salaries,Data Scientist
Quantiphi,"₹10,64,845",4.3,421 salaries,Machine Learning Engineer
Tata Consultancy Services,"₹5,00,000",3.8,95 salaries,Machine Learning Engineer
Tiger Analytics,"₹14,40,537",4,21 salaries,Machine Learning Engineer
Accenture,"₹9,52,050",3.9,20 salaries,Machine Learning Engineer
Amazon,"₹8,00,000",3.7,19 salaries,Machine Learning Engineer
Mad Street Den Systems,"₹11,70,869",4,19 salaries,Machine Learning Engineer
Infocusp,"₹11,00,000",4.7,15 salaries,Machine Learning Engineer
Google,"₹14,00,000",4.4,15 salaries,Machine Learning Engineer
OptiSol Business Solutions Private Limited,"₹5,38,107",4,14 salaries,Machine Learning Engineer
Infosys,"₹6,00,000",3.8,14 salaries,Machine Learning Engineer
Quantiphi,"₹6,42,110",4.3,14 salaries,Machine Learning Engineer
Phenom,"₹18,00,000",3.8,13 salaries,Machine Learning Engineer
First Student,"₹38,063",3.9,11 salaries,Machine Learning Engineer
FactSet,"₹18,00,000",4,11 salaries,Machine Learning Engineer
ABC,"₹10,00,000",4,11 salaries,Machine Learning Engineer
Microsoft,"₹20,00,000",4.3,11 salaries,Machine Learning Engineer
Zycus,"₹7,60,523",3.4,10 salaries,Machine Learning Engineer
ServiceNow,"₹25,83,004",4.4,9 salaries,Machine Learning Engineer
Jio,"₹16,80,000",3.7,9 salaries,Machine Learning Engineer
DeepEdge,"₹8,90,000",4.9,8 salaries,Machine Learning Engineer
dhiOmics Analytics Solutions,"₹3,10,000",3.4,8 salaries,Machine Learning Engineer
MTX Group,"₹34,50,000",3.9,8 salaries,Machine Learning Engineer
Cognizant Technology Solutions,"₹5,20,000",3.8,8 salaries,Machine Learning Engineer
HCLTech,"₹5,65,000",3.6,8 salaries,Machine Learning Engineer
AppliedAICourse,"₹7,00,000",4,7 salaries,Machine Learning Engineer
Oracle,"₹15,00,000",3.8,7 salaries,Machine Learning Engineer
Deloitte,"₹15,00,000",4.1,7 salaries,Machine Learning Engineer
Tech Mahindra,"₹8,30,725",3.6,7 salaries,Machine Learning Engineer
Persistent Systems,"₹7,00,000",3.9,7 salaries,Machine Learning Engineer
XenonStack,"₹5,50,000",3.1,7 salaries,Machine Learning Engineer
Freshworks,"₹14,85,000",3.8,7 salaries,Machine Learning Engineer
skit.ai,"₹16,00,000",3.7,7 salaries,Machine Learning Engineer
Climate Connect (India),"₹6,92,764",3.3,7 salaries,Machine Learning Engineer
BlueOptima,"₹12,00,000",3,7 salaries,Machine Learning Engineer
Monsoon (India),"₹7,34,143",4.2,6 salaries,Machine Learning Engineer
IDfy,"₹10,95,000",4,6 salaries,Machine Learning Engineer
Qualcomm,"₹24,75,000",4,6 salaries,Machine Learning Engineer
TATA ELXSI,"₹6,25,000",4,6 salaries,Machine Learning Engineer
Capgemini,"₹7,09,098",3.9,6 salaries,Machine Learning Engineer
Jocata,"₹9,00,000",3.8,5 salaries,Machine Learning Engineer
ICS Consultancy,"₹17,50,000",3.1,5 salaries,Machine Learning Engineer
Rapid Acceleration Partners,"₹8,00,000",4.7,5 salaries,Machine Learning Engineer
Wipro,"₹6,85,000",3.7,5 salaries,Machine Learning Engineer
Ignitarium Technology Solutions,"₹5,50,000",4.1,5 salaries,Machine Learning Engineer
Observe.AI,"₹26,89,216",3.5,5 salaries,Machine Learning Engineer
Ideapoke Technologies,"₹4,50,000",4,5 salaries,Machine Learning Engineer
HyperVerge,"₹18,21,596",4.3,5 salaries,Machine Learning Engineer
Intel Corporation,"₹6,00,000",4.1,5 salaries,Machine Learning Engineer
Twilio,"₹26,00,000",3.7,5 salaries,Machine Learning Engineer
Aureus Analytics,"₹11,50,000",4.5,5 salaries,Machine Learning Engineer
Inferenz,"₹4,00,000",4.4,5 salaries,Machine Learning Engineer
NewSpace Research and Technologies,"₹6,00,000",3.6,5 salaries,Machine Learning Engineer
Samsung R&D Institute India - Bangalore,"₹18,00,000",3.7,5 salaries,Machine Learning Engineer
AIMonk,"₹6,83,597",4.1,5 salaries,Machine Learning Engineer
Nones,"₹6,00,000",4,4 salaries,Machine Learning Engineer
The Alacer Group,"₹16,25,000",4.3,4 salaries,Machine Learning Engineer
Searce,"₹7,25,000",3.5,4 salaries,Machine Learning Engineer
Quixy,"₹7,50,000",4.2,4 salaries,Machine Learning Engineer
YBI Foundation,"₹24,000",4.8,4 salaries,Machine Learning Engineer
Techolution,"₹10,74,964",3.8,4 salaries,Machine Learning Engineer
Avaamo,"₹25,50,000",4.5,4 salaries,Machine Learning Engineer
Barclays,"₹30,15,799",4,4 salaries,Machine Learning Engineer
INSOFE,"₹6,84,727",3.5,4 salaries,Machine Learning Engineer
Mercedes-Benz Research and Development India,"₹19,37,500",4,4 salaries,Machine Learning Engineer
Mihup Communications,"₹7,32,500",3.8,4 salaries,Machine Learning Engineer
Avantari Technologies,"₹7,10,000",4.5,4 salaries,Machine Learning Engineer
Dailyhunt,"₹20,00,000",3.4,4 salaries,Machine Learning Engineer
Adobe,"₹19,98,937",4.3,4 salaries,Machine Learning Engineer
UST,"₹8,62,500",3.9,4 salaries,Machine Learning Engineer
Intangles,"₹9,00,000",4.5,4 salaries,Machine Learning Engineer
Atos-Syntel,"₹3,47,500",3.6,4 salaries,Machine Learning Engineer
Bombay Softwares,"₹6,75,000",4.9,4 salaries,Machine Learning Engineer
Aera Technology,"₹16,16,304",3.6,4 salaries,Machine Learning Engineer
Continental,"₹7,60,024",4.1,4 salaries,Machine Learning Engineer
DONE by NONE,"₹7,88,889",4,4 salaries,Machine Learning Engineer
iNeuron,"₹25,000",4.3,3 salaries,Machine Learning Engineer
Trantor,"₹7,00,000",3.6,3 salaries,Machine Learning Engineer
Kwantics,"₹6,50,000",3.9,3 salaries,Machine Learning Engineer
Quale Infotech,"₹5,50,000",3.6,3 salaries,Machine Learning Engineer
CogniCor Technologies,"₹6,00,000",4.4,3 salaries,Machine Learning Engineer
Sysark,"₹4,20,000",4.4,3 salaries,Machine Learning Engineer
Onward Assist,"₹58,333",4.3,3 salaries,Machine Learning Engineer
PeopleStrong Technologies,"₹10,00,000",3.9,3 salaries,Machine Learning Engineer
EY,"₹25,00,000",3.8,3 salaries,Machine Learning Engineer
Virtusa,"₹7,00,000",3.7,3 salaries,Machine Learning Engineer
PubMatic,"₹20,32,000",4.3,3 salaries,Machine Learning Engineer
1Rivet,"₹4,20,000",4.5,3 salaries,Machine Learning Engineer
Hexaware Technologies,"₹9,90,000",3.8,3 salaries,Machine Learning Engineer
American Express,"₹18,00,000",4.2,3 salaries,Machine Learning Engineer
Resolute AI Software,"₹20,000",4.3,3 salaries,Machine Learning Engineer
Quantrium,"₹4,20,000",4,3 salaries,Machine Learning Engineer
SalesKen,"₹19,20,716",3.5,3 salaries,Machine Learning Engineer
FIS,"₹9,00,000",3.7,3 salaries,Machine Learning Engineer
Lucida Technologies,"₹6,00,000",3.5,3 salaries,Machine Learning Engineer
CreditVidya,"₹12,78,670",4.2,3 salaries,Machine Learning Engineer
Microsoft,"₹83,333",4.3,3 salaries,Machine Learning Engineer
ExaWizards,"₹23,90,414",3.1,3 salaries,Machine Learning Engineer
L&T Technology Services,"₹4,39,000",3.4,3 salaries,Machine Learning Engineer
ConcertAI,"₹19,72,971",3.3,3 salaries,Machine Learning Engineer
Compass,"₹22,00,000",3.6,3 salaries,Machine Learning Engineer
Tata Consultancy Services,"₹4,89,829",3.8,672 salaries,Data Engineer
Accenture,"₹7,49,540",3.9,415 salaries,Data Engineer
IBM,"₹10,06,500",4.1,377 salaries,Data Engineer
Cognizant Technology Solutions,"₹7,24,870",3.8,218 salaries,Data Engineer
Quantiphi,"₹9,00,000",4.3,214 salaries,Data Engineer
LTIMindtree,"₹5,01,750",3.5,175 salaries,Data Engineer
Infosys,"₹4,87,862",3.8,164 salaries,Data Engineer
Amazon,"₹15,53,804",3.7,159 salaries,Data Engineer
Fractal,"₹10,50,000",4.1,138 salaries,Data Engineer
Capgemini,"₹6,50,000",3.9,135 salaries,Data Engineer
Tiger Analytics,"₹14,00,000",4,99 salaries,Data Engineer
Wipro,"₹6,50,000",3.7,85 salaries,Data Engineer
Deloitte,"₹9,98,000",4.1,85 salaries,Data Engineer
Celebal Technologies,"₹5,29,098",3.5,76 salaries,Data Engineer
MAERSK,"₹15,00,000",4.1,61 salaries,Data Engineer
TCS,"₹5,00,000",3.9,58 salaries,Data Engineer
DXC Technology,"₹6,50,000",3.6,56 salaries,Data Engineer
Jio,"₹7,00,000",3.7,55 salaries,Data Engineer
Optum,"₹10,80,000",3.6,54 salaries,Data Engineer
Shell,"₹13,49,330",4.1,53 salaries,Data Engineer
Tech Mahindra,"₹6,36,500",3.6,50 salaries,Data Engineer
Blackbuck Insights,"₹4,59,174",4.6,48 salaries,Data Engineer
Datametica,"₹5,60,399",4,44 salaries,Data Engineer
Enquero,"₹9,00,000",4,43 salaries,Data Engineer
EY,"₹9,00,000",3.8,41 salaries,Data Engineer
Genpact,"₹7,25,000",4,40 salaries,Data Engineer
Brillio,"₹5,45,000",3.7,38 salaries,Data Engineer
HCLTech,"₹9,98,003",3.6,38 salaries,Data Engineer
Altimetrik,"₹11,50,000",4.1,38 salaries,Data Engineer
Futurense Technologies,"₹8,00,000",3.9,37 salaries,Data Engineer
ABC,"₹8,00,000",4,36 salaries,Data Engineer
Walmart Global Tech,"₹21,38,406",4,36 salaries,Data Engineer
DataWeave,"₹7,40,000",4,35 salaries,Data Engineer
Tredence,"₹7,37,500",4.1,34 salaries,Data Engineer
Teradata,"₹11,00,000",3.8,33 salaries,Data Engineer
Target,"₹13,00,000",3.5,33 salaries,Data Engineer
GE,"₹11,00,000",4,31 salaries,Data Engineer
Publicis Sapient,"₹14,00,000",3.7,31 salaries,Data Engineer
PwC,"₹10,75,000",3.9,30 salaries,Data Engineer
EC-Mobility,"₹2,00,400",3.6,29 salaries,Data Engineer
Celebal Technologies,"₹4,60,972",3.5,29 salaries,Data Engineer
Micron Technology,"₹12,00,000",3.7,29 salaries,Data Engineer
Datagrokr,"₹6,80,000",3.9,28 salaries,Data Engineer
ZS Associates,"₹12,00,000",3.7,27 salaries,Data Engineer
NatWest Group,"₹20,00,000",4,27 salaries,Data Engineer
Bajaj Finance,"₹9,81,904",3.6,26 salaries,Data Engineer
Cisco Systems,"₹14,00,000",4.4,26 salaries,Data Engineer
dunnhumby,"₹13,00,000",4.3,25 salaries,Data Engineer
Decision Point,"₹5,50,000",3.8,25 salaries,Data Engineer
MathCo,"₹8,00,000",3.5,24 salaries,Data Engineer
Lumiq (India),"₹8,00,000",3.7,23 salaries,Data Engineer
Virtusa,"₹7,00,000",3.7,23 salaries,Data Engineer
TEKsystems,"₹8,64,322",3.8,23 salaries,Data Engineer
Searce,"₹9,00,000",3.5,23 salaries,Data Engineer
Google,"₹11,50,000",4.4,22 salaries,Data Engineer
PayPal,"₹23,15,000",3.9,22 salaries,Data Engineer
Amazon,"₹50,000",3.7,22 salaries,Data Engineer
Accenture Solutions,"₹9,05,179",4.1,22 salaries,Data Engineer
Dell Technologies,"₹9,00,000",4.3,21 salaries,Data Engineer
LatentView Analytics,"₹6,26,475",4,21 salaries,Data Engineer
NTT DATA,"₹5,96,642",3.9,21 salaries,Data Engineer
Walmart,"₹23,00,000",3.4,21 salaries,Data Engineer
ANZ,"₹12,00,000",4,21 salaries,Data Engineer
KPMG,"₹13,38,104",3.8,20 salaries,Data Engineer
Anonymous,"₹8,22,500",3.7,20 salaries,Data Engineer
Paytm,"₹15,50,000",3.5,20 salaries,Data Engineer
Bank of America,"₹9,00,000",4,20 salaries,Data Engineer
Hewlett Packard Enterprise | HPE,"₹4,50,000",4.2,19 salaries,Data Engineer
DBS Bank,"₹11,46,123",4,18 salaries,Data Engineer
Affine,"₹8,00,000",3.8,18 salaries,Data Engineer
KPI Partners,"₹4,70,236",3.6,18 salaries,Data Engineer
Inferenz,"₹4,41,675",4.4,18 salaries,Data Engineer
Lowe's Home Improvement,"₹10,75,000",4.2,18 salaries,Data Engineer
Axis Bank,"₹7,83,610",3.8,18 salaries,Data Engineer
Mu Sigma,"₹7,50,000",3.5,17 salaries,Data Engineer
Indium Software,"₹8,00,000",4.2,17 salaries,Data Engineer
Tata Consultancy Services (North America),"₹7,00,000",3.7,17 salaries,Data Engineer
AVASOFT,"₹3,98,402",3.7,17 salaries,Data Engineer
Mphasis,"₹4,50,000",3.5,17 salaries,Data Engineer
BlazeClan Technologies,"₹5,20,000",3.9,17 salaries,Data Engineer
Principal Financial Group,"₹10,44,203",3.9,16 salaries,Data Engineer
Lumen,"₹6,62,500",3.4,16 salaries,Data Engineer
ThirdEye Data,"₹4,00,000",3.4,16 salaries,Data Engineer
UnitedHealth Group,"₹10,35,000",3.7,16 salaries,Data Engineer
Coforge,"₹7,80,000",3.5,16 salaries,Data Engineer
XYZ,"₹10,00,000",3.8,16 salaries,Data Engineer
TO THE NEW,"₹6,00,000",4,16 salaries,Data Engineer
NCR,"₹7,00,000",3.5,16 salaries,Data Engineer
Ford Motor Company,"₹6,00,001",4,16 salaries,Data Engineer
ThinkBumblebee Analytics,"₹15,00,000",4.5,16 salaries,Data Engineer
VMware,"₹21,50,000",4.5,16 salaries,Data Engineer
XenonStack,"₹4,63,008",3.1,15 salaries,Data Engineer
Oracle,"₹12,20,000",3.8,15 salaries,Data Engineer
SLB,"₹8,00,000",4.1,15 salaries,Data Engineer
Fidelity Investments,"₹10,40,000",4.3,15 salaries,Data Engineer
Visa Inc.,"₹17,00,000",4.1,15 salaries,Data Engineer
Commonwealth Bank of Australia,"₹18,83,592",4,14 salaries,Data Engineer
Syren,"₹7,02,003",3.9,14 salaries,Data Engineer
Ganit,"₹6,00,000",3.8,14 salaries,Data Engineer
GE Digital,"₹11,00,000",3.6,14 salaries,Data Engineer
Tata Consultancy Services,"₹4,33,000",3.8,824 salaries,Data Analyst
Accenture,"₹6,24,500",3.9,463 salaries,Data Analyst
Cognizant Technology Solutions,"₹4,97,540",3.8,319 salaries,Data Analyst
Capgemini,"₹4,00,000",3.9,294 salaries,Data Analyst
Infosys,"₹4,80,000",3.8,273 salaries,Data Analyst
Amazon,"₹5,00,000",3.7,259 salaries,Data Analyst
Deloitte,"₹6,26,475",4.1,252 salaries,Data Analyst
Wipro,"₹4,50,000",3.7,205 salaries,Data Analyst
EY,"₹5,00,000",3.8,174 salaries,Data Analyst
LatentView Analytics,"₹5,90,000",4,150 salaries,Data Analyst
GlobalLogic,"₹2,00,000",3.8,136 salaries,Data Analyst
IBM,"₹6,00,000",4.1,135 salaries,Data Analyst
